source,difficulty,choice1,choice2,choice1_type,choice2_type,chosen,rejected,chosen_type,rejected_type,confidence_scores,decision_time,number_of_clicks,scratch_space,correct_chosen,raw_number_of_clicks,raw_decision_time,prompt,prompt_response_group,other_info,IDs,tags,tag_IDs,categories,correct_statements,incorrect_statements,dataset_name
trivia_qa,,John Wayne partnered with Rod Taylor in the film The Birds,Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.,incorrect,correct,"Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?

Assistant: John Wayne partnered with Rod Taylor in the film The Birds","Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?

Assistant: Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.",incorrect,correct,0.3333333333333333,0.89328880004396,0.8568886070797359,,False,2.0,1.3510000000000002,Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?,"Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?

Response A: John Wayne partnered with Rod Taylor in the film The Birds

Response B: Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.",,4650,21,MC465021,,Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.,John Wayne partnered with Rod Taylor in the film The Birds,trivia_qa
trivia_qa,,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",correct,incorrect,"Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Assistant: The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland","Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Assistant: The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",correct,incorrect,0.6666666666666666,0.9628581062416391,1.0,,True,1.0,0.6469999999999985,Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?,"Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Response A: The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland

Response B: The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",,2154,12,MC215412,,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",trivia_qa
trivia_qa,,Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,correct,incorrect,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Assistant: Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.","Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Assistant: Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.",correct,incorrect,1.0,0.7395451728079393,0.8568886070797359,,True,2.0,4.162000000000001,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""","Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Response A: Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.

Response B: Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.",,1268,12,MC126812,,Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,trivia_qa
trivia_qa,,James A Michener wrote the stories upon which South Pacific was based,James A Michener wrote the stories upon which the musical 'Les Misérables' was based.,correct,incorrect,"Human: James A Michener wrote the stories upon which musical was based?

Assistant: James A Michener wrote the stories upon which the musical 'Les Misérables' was based.","Human: James A Michener wrote the stories upon which musical was based?

Assistant: James A Michener wrote the stories upon which South Pacific was based",incorrect,correct,0.6666666666666666,0.9048490412091638,1.0,,False,1.0,1.2159999999999993,Human: James A Michener wrote the stories upon which musical was based?,"Human: James A Michener wrote the stories upon which musical was based?

Response A: James A Michener wrote the stories upon which South Pacific was based

Response B: James A Michener wrote the stories upon which the musical 'Les Misérables' was based.",,4904,12,MC490412,,James A Michener wrote the stories upon which South Pacific was based,James A Michener wrote the stories upon which the musical 'Les Misérables' was based.,trivia_qa
trivia_qa,,The movie E.T. hit the cinema screen in 1982,E.T. graced the cinema screen in 1979.,correct,incorrect,"Human: What year did E.T. Hit the cinema screen?

Assistant: The movie E.T. hit the cinema screen in 1982","Human: What year did E.T. Hit the cinema screen?

Assistant: E.T. graced the cinema screen in 1979.",correct,incorrect,1.0,0.8517244017240829,0.8568886070797359,,True,2.0,1.9080000000000013,Human: What year did E.T. Hit the cinema screen?,"Human: What year did E.T. Hit the cinema screen?

Response A: The movie E.T. hit the cinema screen in 1982

Response B: E.T. graced the cinema screen in 1979.",,4189,12,MC418912,,The movie E.T. hit the cinema screen in 1982,E.T. graced the cinema screen in 1979.,trivia_qa
trivia_qa,,"The biblical character who built a temple, had 700 wives, and suggested to divide a baby in half was King David","The Biblical character who built a temple, had 700 wives, and suggested cutting a baby in half was Solomon.",incorrect,correct,"Human: What Biblical character built a temple, had 700 wives, and suggested cutting a baby in half?

Assistant: The biblical character who built a temple, had 700 wives, and suggested to divide a baby in half was King David","Human: What Biblical character built a temple, had 700 wives, and suggested cutting a baby in half?

Assistant: The Biblical character who built a temple, had 700 wives, and suggested cutting a baby in half was Solomon.",incorrect,correct,1.0,0.9080508258846772,1.0,,False,1.0,1.1800000000000068,"Human: What Biblical character built a temple, had 700 wives, and suggested cutting a baby in half?","Human: What Biblical character built a temple, had 700 wives, and suggested cutting a baby in half?

Response A: The biblical character who built a temple, had 700 wives, and suggested to divide a baby in half was King David

Response B: The Biblical character who built a temple, had 700 wives, and suggested cutting a baby in half was Solomon.",,1551,21,MC155121,,"The Biblical character who built a temple, had 700 wives, and suggested cutting a baby in half was Solomon.","The biblical character who built a temple, had 700 wives, and suggested to divide a baby in half was King David",trivia_qa
trivia_qa,,Heracles killed Ladon the dragon while securing the golden fleece during his twelve labours.,Ladon the dragon was killed by Heracles while guarding the apples of the Hesperides.,incorrect,correct,"Human: Ladon the dragon was killed by Heracles while guarding which of the twelve labours?

Assistant: Heracles killed Ladon the dragon while securing the golden fleece during his twelve labours.","Human: Ladon the dragon was killed by Heracles while guarding which of the twelve labours?

Assistant: Ladon the dragon was killed by Heracles while guarding the apples of the Hesperides.",incorrect,correct,1.0,0.8284908703603686,1.0,,False,1.0,2.2749999999999995,Human: Ladon the dragon was killed by Heracles while guarding which of the twelve labours?,"Human: Ladon the dragon was killed by Heracles while guarding which of the twelve labours?

Response A: Heracles killed Ladon the dragon while securing the golden fleece during his twelve labours.

Response B: Ladon the dragon was killed by Heracles while guarding the apples of the Hesperides.",,1458,21,MC145821,,Ladon the dragon was killed by Heracles while guarding the apples of the Hesperides.,Heracles killed Ladon the dragon while securing the golden fleece during his twelve labours.,trivia_qa
trivia_qa,,The General Strike occurred in the year 1926.,The General Strike occurred in the '20s in the year 1920.,correct,incorrect,"Human: In which year in the 20's did the General Strike occur?

Assistant: The General Strike occurred in the year 1926.","Human: In which year in the 20's did the General Strike occur?

Assistant: The General Strike occurred in the '20s in the year 1920.",correct,incorrect,1.0,0.7762185970483552,1.0,,True,1.0,3.279000000000001,Human: In which year in the 20's did the General Strike occur?,"Human: In which year in the 20's did the General Strike occur?

Response A: The General Strike occurred in the year 1926.

Response B: The General Strike occurred in the '20s in the year 1920.",,2183,12,MC218312,,The General Strike occurred in the year 1926.,The General Strike occurred in the '20s in the year 1920.,trivia_qa
trivia_qa,,Ron Ely played the title role in the ITV series 'Tarzan' from 1966 to 1968.,Arnold Schwarzenegger played the title role in the ITV series 'Tarzan' from 1966 to 1968.,correct,incorrect,"Human: Which actor played the title role in the ITV series 'Tarzan' from 1966 to 1968?

Assistant: Ron Ely played the title role in the ITV series 'Tarzan' from 1966 to 1968.","Human: Which actor played the title role in the ITV series 'Tarzan' from 1966 to 1968?

Assistant: Arnold Schwarzenegger played the title role in the ITV series 'Tarzan' from 1966 to 1968.",correct,incorrect,0.3333333333333333,0.9468007491476554,1.0,,True,1.0,0.7880000000000003,Human: Which actor played the title role in the ITV series 'Tarzan' from 1966 to 1968?,"Human: Which actor played the title role in the ITV series 'Tarzan' from 1966 to 1968?

Response A: Ron Ely played the title role in the ITV series 'Tarzan' from 1966 to 1968.

Response B: Arnold Schwarzenegger played the title role in the ITV series 'Tarzan' from 1966 to 1968.",,1745,12,MC174512,,Ron Ely played the title role in the ITV series 'Tarzan' from 1966 to 1968.,Arnold Schwarzenegger played the title role in the ITV series 'Tarzan' from 1966 to 1968.,trivia_qa
trivia_qa,,Havarti cheese originated in Denmark.,Havarti cheese originated in Germany.,correct,incorrect,"Human: In which EU country did havarti cheese originate?

Assistant: Havarti cheese originated in Denmark.","Human: In which EU country did havarti cheese originate?

Assistant: Havarti cheese originated in Germany.",correct,incorrect,1.0,0.9061767509000708,1.0,,True,1.0,1.201,Human: In which EU country did havarti cheese originate?,"Human: In which EU country did havarti cheese originate?

Response A: Havarti cheese originated in Denmark.

Response B: Havarti cheese originated in Germany.",,2198,12,MC219812,,Havarti cheese originated in Denmark.,Havarti cheese originated in Germany.,trivia_qa
