eval_results_tag,authoritative,agree_human_explicit,agree_human_implicit,grammatically_sound,well_written,entertaining,truthful,higher_reading_age,empathetic,funny,better_supported,polite,matches_human_style,optimistic,structured,informative,engaging,friendly,motivating,concise,persuasive,rigorous,logically_sound,relevant,longer
lr_2e-6-epochs_1-fold_1,0.005424255683694942,0.0003645566740866184,0.01892571190505688,0.012730785715180165,0.003784485606724142,-0.0007899499831435626,-0.0023321005413333793,0.0061838010588665905,0.00021052340222728336,0.019258690167843283,-0.013637561340330643,-0.017663512161260334,-0.014139342749884575,0.00042820105361550414,0.002574593521151132,-0.006460189904626166,-0.0018465988933376088,0.006624902528783713,0.010631214011087672,-0.011148618939844895,0.00041657899624486657,-0.01159772598299278,0.0010183814709069118,0.011568157003946464,-0.006879724776250276
lr_1e-6-epochs_1-fold_1,-0.011263676266783894,-0.005589896333409594,0.014449202327594578,0.02040083457144404,0.011136122721714634,-0.006873292692318099,0.0008697595673208486,-0.01435177622363614,0.0077699418645213875,0.04303055316735617,-0.01229792200127129,-0.01982076269967884,-0.0018602390415565634,-0.003116340671136076,-0.00248014405781649,-0.011946120010996698,-0.010065065921925881,0.006781605344069823,0.008397228301739609,-0.013722593369545533,-0.0010267778566294319,-0.015949745592272167,0.009664119085439085,0.002545821829870164,-0.03213576881001221
lr_2e-6-epochs_1-fold_2,-0.016752405413160785,-0.0057742877079314334,0.011820633917557293,0.025500799297185097,0.01169488959505531,-0.006940410424937939,0.0016812439926068691,-0.01439787173323728,0.012709572904874924,0.04550066110554222,-0.011857038050793394,-0.016375014554723386,-0.0014937606771242007,-0.006337540378824026,-0.001966829301598327,-0.013103547202039876,-0.011741473607066172,0.007108326017096599,0.008986162431920073,-0.01550876443214427,-0.0005846966752926196,-0.01846978266810785,0.013084377719172657,0.0007133999510891918,-0.030243230404521544
lr_1e-6-epochs_1-fold_2,-0.014566757492732785,-0.00674930666277633,0.013728700074200921,0.021763035042877625,0.011829121084716966,-0.007305869701138474,0.001879309932171438,-0.016908850319019324,0.010316094495101475,0.04493157069521423,-0.012283141556359754,-0.019091238271776112,-0.000503995553810302,-0.0054421142580817474,-0.003005928581001249,-0.01252229078265381,-0.01026409200448308,0.0060549593045256984,0.007545830407807326,-0.01349711263977433,-0.0003439759445828458,-0.01673449831848849,0.010761442917135836,0.00013444264064953627,-0.035220894466833914
lr_2e-6-epochs_1-fold_4,-0.014761024787388052,-0.005870986998099384,0.012229283912170893,0.024930904432992656,0.013154204615631193,-0.006668837727843908,0.0008271404529021252,-0.014375695066587113,0.012194024674826606,0.04636084193304474,-0.014158880541265169,-0.01727987579582747,-0.0005037534328000198,-0.005962553250446676,-0.0029762840508126207,-0.012678391711520978,-0.012125116939427635,0.005642477964029249,0.008589639805173275,-0.014345423907482526,-0.0017187465701975113,-0.017178896947956077,0.012804257258007679,1.947690983155649e-06,-0.033886600890906685
lr_1e-6-epochs_1-fold_4,-0.013288399222739078,-0.006975177416901939,0.014381044275655362,0.02123804994653666,0.011891060871684291,-0.007040495293535583,0.0016448091764504809,-0.016589409146164,0.009215635825801176,0.043966097595958355,-0.012241941064886916,-0.0197261931657404,-0.0008477770363769638,-0.00478714438822169,-0.0031617304635053016,-0.012362348391644956,-0.010152607965340182,0.006230614415275874,0.007591507737206874,-0.01343509910734183,-0.0010112427614649023,-0.016163718665366207,0.010617224054019483,0.0005547574687691471,-0.03528785712111836
lr_1e-6-epochs_1-fold_0,-0.01062195546049116,-0.004545409341067194,0.015057793728749365,0.019752649717288417,0.010560319837246777,-0.007098097243202526,-5.22940067111707e-06,-0.011592082199417634,0.006860795526863519,0.04189977427626467,-0.011614494455952066,-0.019708422152235488,-0.0029160181905543967,-0.0023885550627626905,-0.002824264656155455,-0.011925051054059277,-0.00947857685170796,0.007186667573296886,0.007969115858249456,-0.012866853501259995,-0.0014127354746204424,-0.014799505540423365,0.008419541483664361,0.004378708100689895,-0.029807319559451657
lr_2e-6-epochs_1-fold_0,0.006936836138610068,-0.003041805481775731,0.020858186475620183,0.01328476315106836,0.004861658911796434,-0.00034575431434726006,-0.0007354547179695555,0.005585737855668743,-0.0010936837789813339,0.019807839235919136,-0.012162473407792815,-0.016103103261943915,-0.012880058219608324,-0.0010303286544583636,0.002662742947636374,-0.006033278650866938,-0.0005301117799359544,0.004844489081486142,0.011242927113766,-0.009083547115868187,-0.0005513572705052496,-0.011681751083388816,-0.001493092511169567,0.011248112688209834,-0.007295152274725341
lr_1e-6-epochs_1-fold_3,-0.014065603732773378,-0.006961022758852145,0.013846976760341028,0.021766621861329022,0.01207447476120257,-0.0073710842968388104,0.0021039248255174986,-0.016755092857662208,0.009788514316770044,0.044035326283222,-0.012254688795354338,-0.019091595041197767,-0.0006994509055213904,-0.005061184141660014,-0.002826750229998684,-0.012591991247773028,-0.010095338662079146,0.006234885002437151,0.007458263431092474,-0.013550092727528114,-0.0005704922799859838,-0.01654428092643407,0.0109195700413757,6.242207390311227e-05,-0.03517997423223161
lr_2e-6-epochs_1-fold_3,-0.016230449639927955,-0.006935248581461195,0.011887900310528976,0.02599735130828472,0.01167995391472851,-0.00811678987204167,0.002422392831746372,-0.01448312445150683,0.01202729418718991,0.045522845986393015,-0.011762331908329933,-0.01577485148156397,-0.0010526851391305615,-0.006350646397594617,-0.0012366456695198516,-0.013104502902377878,-0.01117795051423808,0.007088945944370845,0.00815041729500418,-0.015049112664734502,-0.0009167197645569137,-0.01755705366874591,0.012934685845733596,0.0010433131104170199,-0.031688039498801876
