source,difficulty,choice1,choice2,choice1_type,choice2_type,chosen,rejected,chosen_type,rejected_type,confidence_scores,decision_time,number_of_clicks,scratch_space,correct_chosen,raw_number_of_clicks,raw_decision_time,prompt,prompt_response_group,other_info,IDs,tags,tag_IDs,categories,correct_statements,incorrect_statements
professional_law,,Facts recognized to be true by common knowledge.,Facts that have been asserted by individual political organizations.,incorrect,correct,"Human: Judge took judicial notice of some facts at the beginning of the trial. Which of the following is not an appropriate kind of fact for judicial notice?

Assistant: Facts that have been asserted by individual political organizations.","Human: Judge took judicial notice of some facts at the beginning of the trial. Which of the following is not an appropriate kind of fact for judicial notice?

Assistant: Facts recognized to be true by common knowledge.",correct,incorrect,1.0,0.0691496547916321,0.8568886070797359,,True,2.0,158.465,Human: Judge took judicial notice of some facts at the beginning of the trial. Which of the following is not an appropriate kind of fact for judicial notice?,"Human: Judge took judicial notice of some facts at the beginning of the trial. Which of the following is not an appropriate kind of fact for judicial notice?

Response A: Facts recognized to be true by common knowledge.

Response B: Facts that have been asserted by individual political organizations.",,2177,21,MC217721,,Facts that have been asserted by individual political organizations.,Facts recognized to be true by common knowledge.
professional_psychology,,are highly intercorrelated with each other and moderately correlated with the criterion,are uncorrelated with each other but are moderately correlated with the criterion,incorrect,correct,"Human: In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors

Assistant: are highly intercorrelated with each other and moderately correlated with the criterion","Human: In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors

Assistant: are uncorrelated with each other but are moderately correlated with the criterion",incorrect,correct,0.0,0.4935379433133162,1.0,,False,1.0,17.308,"Human: In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors","Human: In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors

Response A: are highly intercorrelated with each other and moderately correlated with the criterion

Response B: are uncorrelated with each other but are moderately correlated with the criterion",,1154,21,MC115421,,are uncorrelated with each other but are moderately correlated with the criterion,are highly intercorrelated with each other and moderately correlated with the criterion
logical_sequence,,"feel thirsty, open water bottle, drink water, seal water bottle","drink water, feel thirsty, seal water bottle, open water bottle",correct,incorrect,"Human: Which of the following lists is correctly ordered sequentially?

Assistant: feel thirsty, open water bottle, drink water, seal water bottle","Human: Which of the following lists is correctly ordered sequentially?

Assistant: drink water, feel thirsty, seal water bottle, open water bottle",correct,incorrect,1.0,0.8903780821696403,1.0,,True,1.0,1.4189999999999996,Human: Which of the following lists is correctly ordered sequentially?,"Human: Which of the following lists is correctly ordered sequentially?

Response A: feel thirsty, open water bottle, drink water, seal water bottle

Response B: drink water, feel thirsty, seal water bottle, open water bottle",,3322,12,MC332212,,"feel thirsty, open water bottle, drink water, seal water bottle","drink water, feel thirsty, seal water bottle, open water bottle"
undo_permutation,,Two wrongs do not make a right.,Right do two wrongs a not make.,correct,incorrect,"Human: In the following sentences with shuffled characters, find the more likely unscrambled sentence.

nt  o awg  dihroromotakgwenst .

Assistant: Two wrongs do not make a right.","Human: In the following sentences with shuffled characters, find the more likely unscrambled sentence.

nt  o awg  dihroromotakgwenst .

Assistant: Right do two wrongs a not make.",correct,incorrect,0.6666666666666666,0.9526245223157006,1.0,,True,1.0,0.761000000000001,"Human: In the following sentences with shuffled characters, find the more likely unscrambled sentence.

nt  o awg  dihroromotakgwenst .","Human: In the following sentences with shuffled characters, find the more likely unscrambled sentence.

nt  o awg  dihroromotakgwenst .

Response A: Two wrongs do not make a right.

Response B: Right do two wrongs a not make.",,2940,12,MC294012,,Two wrongs do not make a right.,Right do two wrongs a not make.
trivia_qa,,Neptune's orbit takes it the furthest away from the sun,Neptune's orbit takes it the closest to the sun among all planets.,correct,incorrect,"Human: What planets orbit takes it the furthest away from the sun?

Assistant: Neptune's orbit takes it the furthest away from the sun","Human: What planets orbit takes it the furthest away from the sun?

Assistant: Neptune's orbit takes it the closest to the sun among all planets.",correct,incorrect,1.0,0.8779724744273557,1.0,,True,1.0,1.5770000000000015,Human: What planets orbit takes it the furthest away from the sun?,"Human: What planets orbit takes it the furthest away from the sun?

Response A: Neptune's orbit takes it the furthest away from the sun

Response B: Neptune's orbit takes it the closest to the sun among all planets.",,3185,12,MC318512,,Neptune's orbit takes it the furthest away from the sun,Neptune's orbit takes it the closest to the sun among all planets.
cs_algorithms,,Invalid,Valid,correct,incorrect,"Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ) ( ) } { ) } } (
Is this sequence of parentheses valid or invalid?

Assistant: Invalid","Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ) ( ) } { ) } } (
Is this sequence of parentheses valid or invalid?

Assistant: Valid",correct,incorrect,1.0,0.5034101671430212,0.6765895749444931,,True,4.0,16.409,"Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ) ( ) } { ) } } (
Is this sequence of parentheses valid or invalid?","Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ) ( ) } { ) } } (
Is this sequence of parentheses valid or invalid?

Response A: Invalid

Response B: Valid",,2004,12,MC200412,,Invalid,Valid
crass_ai,,I'm not sure; thieves usually don't call the police.,The police would have to clear a mission to find him or her.,correct,incorrect,"Human: A thief hides from the police. What would have happened if the thief had called the police?

Assistant: I'm not sure; thieves usually don't call the police.","Human: A thief hides from the police. What would have happened if the thief had called the police?

Assistant: The police would have to clear a mission to find him or her.",correct,incorrect,0.6666666666666666,0.9481119337211144,1.0,,True,1.0,0.8019999999999996,Human: A thief hides from the police. What would have happened if the thief had called the police?,"Human: A thief hides from the police. What would have happened if the thief had called the police?

Response A: I'm not sure; thieves usually don't call the police.

Response B: The police would have to clear a mission to find him or her.",,4371,12,MC437112,,I'm not sure; thieves usually don't call the police.,The police would have to clear a mission to find him or her.
jeopardy,5.0,The surname of the proprietors who regained control of Maryland from the British Crown in 1715 is Carroll.,"The Calvert family, who were the original proprietors of Maryland, regained control of the colony from the British Crown in 1715.",incorrect,correct,"Human: What is the surname of the proprietors who regained control of Maryland from the British Crown in 1715?

Assistant: The Calvert family, who were the original proprietors of Maryland, regained control of the colony from the British Crown in 1715.","Human: What is the surname of the proprietors who regained control of Maryland from the British Crown in 1715?

Assistant: The surname of the proprietors who regained control of Maryland from the British Crown in 1715 is Carroll.",correct,incorrect,1.0,0.4646616959791104,0.755349457881774,,True,3.0,20.213,Human: What is the surname of the proprietors who regained control of Maryland from the British Crown in 1715?,"Human: What is the surname of the proprietors who regained control of Maryland from the British Crown in 1715?

Response A: The surname of the proprietors who regained control of Maryland from the British Crown in 1715 is Carroll.

Response B: The Calvert family, who were the original proprietors of Maryland, regained control of the colony from the British Crown in 1715.",,1941,21,MC194121,,"The Calvert family, who were the original proprietors of Maryland, regained control of the colony from the British Crown in 1715.",The surname of the proprietors who regained control of Maryland from the British Crown in 1715 is Carroll.
english_proverbs,,The squeaky wheel gets the grease.,Discretion is the better part of valor.,correct,incorrect,"Human: Mike always asks for help whenever he gets a new task, without spending some time first to see if he can figure it out by himself. This might be why it looks like he solves more issues than the rest. Which of the following proverbs best apply to this situation?

Assistant: The squeaky wheel gets the grease.","Human: Mike always asks for help whenever he gets a new task, without spending some time first to see if he can figure it out by himself. This might be why it looks like he solves more issues than the rest. Which of the following proverbs best apply to this situation?

Assistant: Discretion is the better part of valor.",correct,incorrect,1.0,0.7734366615437747,0.8568886070797359,,True,2.0,3.3919999999999995,"Human: Mike always asks for help whenever he gets a new task, without spending some time first to see if he can figure it out by himself. This might be why it looks like he solves more issues than the rest. Which of the following proverbs best apply to this situation?","Human: Mike always asks for help whenever he gets a new task, without spending some time first to see if he can figure it out by himself. This might be why it looks like he solves more issues than the rest. Which of the following proverbs best apply to this situation?

Response A: The squeaky wheel gets the grease.

Response B: Discretion is the better part of valor.",,3524,12,MC352412,,The squeaky wheel gets the grease.,Discretion is the better part of valor.
checkmate_in_one,,Qxh7#,Rxh7,correct,incorrect,"Human: In the following chess position, find a checkmate-in-one move.

1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nd5 5. c4 Nb6 6. d4 Bb4+ 7. Nc3 O-O 8. Bd3 d6 9. Bxf4 dxe5 10. Bxe5 Bg4 11. O-O N8d7 12. a3 Nxe5 13. dxe5 Bxf3 14. Qxf3 Bc5+ 15. Kh1 Qg5 16. Rae1 Nd7 17. Qxb7 Nxe5 18. Qe4 Nxd3 19. Qxd3 Qh6 20. Rf3 Rad8 21. Qf5 Bd4 22. Rh3 Qd2 23.

Assistant: Rxh7","Human: In the following chess position, find a checkmate-in-one move.

1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nd5 5. c4 Nb6 6. d4 Bb4+ 7. Nc3 O-O 8. Bd3 d6 9. Bxf4 dxe5 10. Bxe5 Bg4 11. O-O N8d7 12. a3 Nxe5 13. dxe5 Bxf3 14. Qxf3 Bc5+ 15. Kh1 Qg5 16. Rae1 Nd7 17. Qxb7 Nxe5 18. Qe4 Nxd3 19. Qxd3 Qh6 20. Rf3 Rad8 21. Qf5 Bd4 22. Rh3 Qd2 23.

Assistant: Qxh7#",incorrect,correct,1.0,0.958845860655678,1.0,,False,1.0,0.7059999999999995,"Human: In the following chess position, find a checkmate-in-one move.

1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nd5 5. c4 Nb6 6. d4 Bb4+ 7. Nc3 O-O 8. Bd3 d6 9. Bxf4 dxe5 10. Bxe5 Bg4 11. O-O N8d7 12. a3 Nxe5 13. dxe5 Bxf3 14. Qxf3 Bc5+ 15. Kh1 Qg5 16. Rae1 Nd7 17. Qxb7 Nxe5 18. Qe4 Nxd3 19. Qxd3 Qh6 20. Rf3 Rad8 21. Qf5 Bd4 22. Rh3 Qd2 23.","Human: In the following chess position, find a checkmate-in-one move.

1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nd5 5. c4 Nb6 6. d4 Bb4+ 7. Nc3 O-O 8. Bd3 d6 9. Bxf4 dxe5 10. Bxe5 Bg4 11. O-O N8d7 12. a3 Nxe5 13. dxe5 Bxf3 14. Qxf3 Bc5+ 15. Kh1 Qg5 16. Rae1 Nd7 17. Qxb7 Nxe5 18. Qe4 Nxd3 19. Qxd3 Qh6 20. Rf3 Rad8 21. Qf5 Bd4 22. Rh3 Qd2 23.

Response A: Qxh7#

Response B: Rxh7",,4321,12,MC432112,,Qxh7#,Rxh7
