eval_results_tag,Chat,Chat Hard,Safety,Reasoning
lr_2e-05-epochs_1-fold_4,0.7687966389083707,0.38596491228070173,0.5094594594594595,0.7790096082779009
lr_2e-05-epochs_1-fold_3,0.7799002931684494,0.36403508771929827,0.48243243243243245,0.8238266814486327
lr_2e-05-epochs_1-fold_2,0.7916848049529613,0.2741228070175439,0.4594594594594595,0.5445491500369549
lr_2e-05-epochs_1-fold_0,0.8155121311545892,0.3442982456140351,0.5337837837837838,0.7682280118255729
lr_2e-05-epochs_1-fold_1,0.8571065805702678,0.38596491228070173,0.47702702702702704,0.8025129342202514
lr_2e-6-epochs_1-fold_2,0.5442023319118291,0.5,0.4797297297297297,0.7860125646711014
lr_2e-6-epochs_1-fold_1,0.5405740028645056,0.5021929824561403,0.4837837837837838,0.7869364375461936
lr_2e-6-epochs_2-fold_2,0.6379121085824996,0.4692982456140351,0.5108108108108108,0.7805432372505543
lr_2e-6-epochs_2-fold_1,0.646845886371026,0.4407894736842105,0.48783783783783785,0.7655025868440503
lr_2e-6-epochs_1-fold_3,0.5235989181519907,0.5175438596491229,0.4864864864864865,0.7800351071692535
lr_5e-6-epochs_1-fold_1,0.7936366860947867,0.36403508771929827,0.4486486486486487,0.7190687361419068
lr_5e-6-epochs_1-fold_2,0.779951684979618,0.4298245614035088,0.5432432432432432,0.78119918699187
lr_2e-6-epochs_3-fold_2,0.6957574548356671,0.45394736842105265,0.5256756756756756,0.7795269770879526
lr_2e-6-epochs_3-fold_1,0.6673166219255605,0.45394736842105265,0.5472972972972973,0.7838322246858832
lr_5e-6-epochs_2-fold_1,0.7777855033441626,0.4144736842105263,0.5094594594594595,0.7792867701404286
lr_5e-6-epochs_3-fold_1,0.7997378681736222,0.42105263157894735,0.5297297297297298,0.7809589800443459
lr_2e-6-epochs_2-fold_3,0.6010161471055326,0.49122807017543857,0.5162162162162162,0.7877771618625278
lr_5e-6-epochs_2-fold_2,0.7944522371896674,0.41885964912280704,0.5297297297297298,0.7813192904656319
lr_5e-6-epochs_1-fold_3,0.7688047003689461,0.4407894736842105,0.5337837837837838,0.7904379157427938
lr_5e-6-epochs_3-fold_2,0.7888176121416345,0.39473684210526316,0.5364864864864864,0.7884331116038432
lr_5e-6-epochs_5-fold_2,0.748236891393316,0.4232456140350877,0.5297297297297298,0.7855044345898005
lr_2e-6-epochs_5-fold_1,0.7205128566860409,0.4276315789473684,0.5391891891891892,0.7859848484848486
lr_2e-6-epochs_5-fold_2,0.731893959547591,0.4342105263157895,0.5405405405405406,0.7842202512934221
lr_2e-6-epochs_3-fold_3,0.6410513756882472,0.46710526315789475,0.5202702702702703,0.7984478935698449
lr_5e-6-epochs_5-fold_1,0.754141239476435,0.4342105263157895,0.5337837837837838,0.7915742793791575
lr_5e-6-epochs_2-fold_3,0.7534576947984769,0.44298245614035087,0.5297297297297298,0.7911862527716186
lr_2e-6-epochs_5-fold_3,0.6971903794529494,0.4407894736842105,0.5391891891891892,0.7923503325942352
lr_5e-6-epochs_3-fold_3,0.7537398459186169,0.43201754385964913,0.5243243243243243,0.7876293422025129
lr_5e-6-epochs_5-fold_3,0.741533115136467,0.44298245614035087,0.5216216216216216,0.773669623059867
